First_Name Middle_Name,Family_Name,Institution,Category
Glenn,Proctor,1,Biology & Biochemistry
Adriano,Joss,1,Environment/Ecology
Christa S,McArdell,1,Environment/Ecology
Hansruedi,Siegrist,1,Environment/Ecology
Urs,von Gunten,1,Environment/Ecology
Jordi,Bascompte,1,Environment/Ecology
Paul J,Kersey,1,Biology & Biochemistry
Rene,Stulz,1,Economics & Business
Mohammad Khaja,Nazeeruddin,1,Chemistry
Mohammad Khaja,Nazeeruddin,1,Materials Science
Michael,Graetzel,1,Engineering
Michael,Graetzel,1,Materials Science
Michael,Gastpar,1,Computer Science
Tobias J,Kippenberg,1,Physics
Shaik M,Zakeeruddin,1,Chemistry
Shaik M,Zakeeruddin,1,Materials Science
Christophe,Caloz,1,Engineering
Berrie,Giebels,1,Space Science
Florencio,Lopez-de-Silanes,1,Economics & Business
Rene AJ,Janssen,1,Materials Science
E W,Meijer,1,Chemistry
Martijn M,Wienk,1,Materials Science
Nagy A,Farid,1,Pharmacology & Toxicology
Rafi,Ahmed,1,Immunology
Dana Boyd,Barr,1,Environment/Ecology
Helen S,Mayberg,1,Neuroscience & Behavior
Helen S,Mayberg,1,Psychiatry/Psychology
Leslee J,Shaw,1,Clinical Medicine
Peter WF,Wilson,1,Clinical Medicine
Bernd,Nowack,1,Environment/Ecology
Susan,Lucas,1,Plant & Animal Science
Delina Y,Lyon,1,Environment/Ecology
Robert J,Letcher,1,Environment/Ecology
Derek CG,Muir,1,Environment/Ecology
Alan G,Barr,1,Agricultural Sciences
Anders,Hagfeldt,1,Chemistry
Robin,Humphry-Baker,1,Chemistry
Jean-Louis,Vincent,1,Clinical Medicine
Yurii S,Aulchenko,1,Molecular Biology & Genetics
Albert,Hofman,1,Clinical Medicine
Albert,Hofman,1,Molecular Biology & Genetics
Albert,Hofman,1,"Social Sciences, general"
Johan P,Mackenbach,1,"Social Sciences, general"
Ben A,Oostra,1,Molecular Biology & Genetics
Fernando,Rivadeneira,1,Molecular Biology & Genetics
Pieter,Sonneveld,1,Clinical Medicine
Henning,Tiemeier,1,"Social Sciences, general"
Andre G,Uitterlinden,1,Molecular Biology & Genetics
Andre G,Uitterlinden,1,"Social Sciences, general"
Jacqueline CM,Witteman,1,Clinical Medicine
Jacqueline CM,Witteman,1,Molecular Biology & Genetics
Ron AM,Fouchier,1,Microbiology
Albert DME,Osterhaus,1,Microbiology
Guus F,Rimmelzwaan,1,Microbiology
Patrick WJC,Serruys,1,Clinical Medicine
Henk,Volberda,1,Economics & Business
Arnold B,Bakker,1,Psychiatry/Psychology
Eric,Boersma,1,Clinical Medicine
Justin,Jansen,1,Economics & Business
Arie Pieter,Kappetein,1,Clinical Medicine
Cornelia M,van Duijn,1,"Social Sciences, general"
Mustafa,Soylak,1,Engineering
Montserrat,Vila,1,Environment/Ecology
Ruedi,Aebersold,1,Biology & Biochemistry
Tilman,Esslinger,1,Physics
Nicola A,Spaldin,1,Physics
Nicola A,Spaldin,1,Materials Science
Peter,Buhlmann,1,Mathematics
Wilhelm,Gruissem,1,Plant & Animal Science
Jean-Christophe,Leroux,1,Pharmacology & Toxicology
Ulrike,Lohmann,1,Geosciences
Daniel,Rios,1,Biology & Biochemistry
Sarah E,Hunt,1,Molecular Biology & Genetics
Aron,Goldhirsch,1,Clinical Medicine
Tobias,Doerks,1,Biology & Biochemistry
Ivica,Letunic,1,Biology & Biochemistry
Toby J,Gibson,1,Biology & Biochemistry
Peer,Bork,1,Biology & Biochemistry
